,date,result,teams,score,formation
0,"Oct 1, 2020 ",W,"[Celta , Barcelona]",0 - 3,4231
1,"Oct 4, 2020 ",D,"[Barcelona , Sevilla FC ]",1 - 1,4231
2,"Oct 17, 2020 ",L,"[Getafe, Barcelona ]",1 - 0,4231
3,"Oct 20, 2020 ",W,"[Barcelona, Ferencváros ]",5 - 1,4231
4,"Oct 24, 2020 ",L,"[Barcelona , Real Madrid]",1 - 3,442
5,"Oct 28, 2020 ",W,"[Juventus , Barcelona]",0 - 2,4231
6,"Oct 31, 2020 ",D,"[Alavés , Barcelona ]",1 - 1,4231
7,"Nov 4, 2020 ",W,"[Barcelona, Dynamo Kyiv ]",2 - 1,4231
8,"Nov 7, 2020 ",W,"[Barcelona, Real Betis ]",5 - 2,442
9,"Nov 21, 2020 ",L,"[Atletico Madrid, Barcelona ]",1 - 0,4231
10,"Nov 24, 2020 ",W,"[Dynamo Kyiv , Barcelona]",0 - 4,4231
11,"Nov 29, 2020 ",W,"[Barcelona, Osasuna ]",4 - 0,433
12,"Dec 2, 2020 ",W,"[Ferencváros , Barcelona]",0 - 3,4231
13,"Dec 5, 2020 ",L,"[Cádiz CF, Barcelona ]",2 - 1,4231
14,"Dec 8, 2020 ",L,"[Barcelona , Juventus]",0 - 3,4231
15,"Dec 13, 2020 ",W,"[Barcelona, Levante ]",1 - 0,4231
16,"Dec 16, 2020 ",W,"[Barcelona, Real Sociedad ]",2 - 1,4231
17,"Dec 19, 2020 ",D,"[Barcelona , Valencia ]",2 - 2,4141
18,"Dec 22, 2020 ",W,"[Valladolid , Barcelona]",0 - 3,3421
19,"Dec 29, 2020 ",D,"[Barcelona , Eibar ]",1 - 1,3421
20,"Jan 3, 2021 ",W,"[Huesca , Barcelona]",0 - 1,433
21,"Jan 6, 2021 ",W,"[Athletic , Barcelona]",2 - 3,433
22,"Jan 9, 2021 ",W,"[Granada , Barcelona]",0 - 4,433
23,"Jan 13, 2021 ",D,"[Real Sociedad , Barcelona]",1 - 1,4231
24,"Jan 17, 2021 ",L,"[Barcelona , Athletic]",2 - 3,433
25,"Jan 21, 2021 ",W,"[Cornellà , Barcelona]",0 - 2,433
26,"Jan 24, 2021 ",W,"[Elche , Barcelona]",0 - 2,433
27,"Jan 27, 2021 ",W,"[Rayo Vallecano , Barcelona]",1 - 2,433
28,"Jan 31, 2021 ",W,"[Barcelona, Athletic ]",2 - 1,4231
29,"Feb 3, 2021 ",W,"[Granada , Barcelona]",3 - 5,433
30,"Feb 7, 2021 ",W,"[Real Betis , Barcelona]",2 - 3,433
31,"Feb 10, 2021 ",L,"[Sevilla FC, Barcelona ]",2 - 0,433
32,"Feb 13, 2021  ",W,"[Barcelona, Alavés ]",5 - 1,433
33,"Feb 16, 2021 ",L,"[Barcelona , PSG]",1 - 4,433
34,"Feb 21, 2021 ",D,"[Barcelona , Cádiz CF ]",1 - 1,433
35,"Feb 24, 2021 ",W,"[Barcelona, Elche ]",3 - 0,433
